category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Content,Time,CheckIn,One on one time,"Sometimes our children will suggest activities that are violent or unsafe. Explain why they can't, and try suggesting alternative activities that would be more appropriate. Type ""Help"" if you want a suggestion.",,,,,,,,,,,PLH - Content - Time - CheckIn - One on one time,7eaa7281-c749-40a7-8e02-e42ecf5f676c,bb9961a2-05f0-4908-b9dd-df3788fe1544
Content,Time,CheckIn,One on one time,"If your child is very young, it is normal for them to have a short attention span and want to do many things during One-on-One Time. Just accept your child and follow their lead moving from one activity to the next.",,,,,,,,,,,PLH - Content - Time - CheckIn - One on one time,7eaa7281-c749-40a7-8e02-e42ecf5f676c,6396a848-ac7d-43ed-ab99-234989b65acf
Content,Time,CheckIn,One on one time,"The end of One-on-One Time can sometimes be difficult for your child. Try giving your child a Transition Warning about a minute before the end of One-on-One Time: ""In one minute, One-on-One Time will be over and it will be time to wash our hands before dinner...""",,,,,,,,,,,PLH - Content - Time - CheckIn - One on one time,7eaa7281-c749-40a7-8e02-e42ecf5f676c,5cfeb721-5bdf-46f4-9841-79c6b3f5cf81
Content,Time,CheckIn,One on one time,"It can be difficult to spend One-on-One Time with each one child when you have more than one child. If possible, you can ask another adult or older sibling to look after the other children while you spend One-on-One Time with one child. ",,,,,,,,,,,PLH - Content - Time - CheckIn - One on one time,7eaa7281-c749-40a7-8e02-e42ecf5f676c,a95cfc7c-344b-4bcb-9487-2fdf14e38597
Content,Time,CheckIn,One on one time,"If your child is too young to understand how long a minute is, then you can set a number of time to repeat the activity: ""5 more tries and then it will be time for wash our hands before dinner…""",,,,,,,,,,,PLH - Content - Time - CheckIn - One on one time,7eaa7281-c749-40a7-8e02-e42ecf5f676c,8bc56c7d-feb3-4533-9d19-4176d2210e8c
Content,Time,CheckIn,One on one time,"You can also spend One-on-One Time with all of your children at once! 
Type ""Help"" for activities that you can do as a whole family",,,,,,,,,,,PLH - Content - Time - CheckIn - One on one time,7eaa7281-c749-40a7-8e02-e42ecf5f676c,0033fc0b-1407-4db5-891d-dec24d82cc56
Content,Time,CheckIn,One on one time,"We are sorry to hear that you have been having some difficulties spending One-on-One Time with your children. Please type ""Help"" for other advice that might be of use to you. Thank you for trying your best!",,,,,,,,,,,PLH - Content - Time - CheckIn - One on one time,7eaa7281-c749-40a7-8e02-e42ecf5f676c,031094c7-0c75-4bd3-8f5b-3d71cb4472f0
Content,Time,CheckIn,One on one time,"Only give the transition warning once. When One-on-One Time is over, thank your child for spending time with you. Then enthusiastically redirect your child to the next activity like washing hands before dinner.",,,,,,,,,,,PLH - Content - Time - CheckIn - One on one time,7eaa7281-c749-40a7-8e02-e42ecf5f676c,2418e47f-913f-4eb4-8ea0-610f4dc3afed
Content,Time,CheckIn,One on one time,"You can also think of times when it would be easier to spend One-on-One Time each child, like later in the evening with an older child after the others have gone to sleep.",,,,,,,,,,,PLH - Content - Time - CheckIn - One on one time,7eaa7281-c749-40a7-8e02-e42ecf5f676c,c1975c3b-e724-411b-98c5-b9ea24796bc3
Content,Time,CheckIn,One on one time,"Competitive games can be challenging for children (and adults!) if they have difficulty losing. You may want to suggest other activities that you can play together instead of against each other (Type ""Help"" if you want a suggestion"").",,,,,,,,,,,PLH - Content - Time - CheckIn - One on one time,7eaa7281-c749-40a7-8e02-e42ecf5f676c,d0e0c36b-5766-4e72-9f8d-b164e111a0dd
